Timestamp,Prediction
1727676527.6670232,NormalSleep
1727676537.673548,ObstructiveApnea
1727676547.680245,ObstructiveApnea
1727676557.687011,ObstructiveApnea
1727676567.693701,ObstructiveApnea
1727676577.7008169,ObstructiveApnea
1727676587.707613,ObstructiveApnea
1727676597.7143512,ObstructiveApnea
1727676607.721026,ObstructiveApnea
1727676617.727464,NormalSleep
1727676627.734108,NormalSleep
1727676637.740588,ObstructiveApnea
1727676647.7471209,ObstructiveApnea
1727676657.7543921,ObstructiveApnea
1727676667.762075,ObstructiveApnea
1727676677.771199,ObstructiveApnea
1727676687.777892,ObstructiveApnea
1727676697.785305,NormalSleep
1727676707.791732,NormalSleep
1727676717.798333,ObstructiveApnea
1727676727.805801,ObstructiveApnea
1727676737.813577,ObstructiveApnea
1727676747.821026,ObstructiveApnea
1727676757.828723,NormalSleep
1727676767.838012,NormalSleep
1727676777.858965,ObstructiveApnea
1727676787.8688698,ObstructiveApnea
1727676797.8767538,ObstructiveApnea
1727676807.883266,ObstructiveApnea
1727676817.889952,ObstructiveApnea
1727676827.896637,NormalSleep
1727676837.904342,ObstructiveApnea
1727676847.912055,ObstructiveApnea
1727676857.919403,ObstructiveApnea
1727676867.926191,ObstructiveApnea
1727676877.9326599,ObstructiveApnea
1727676887.939473,ObstructiveApnea
1727676897.9470851,ObstructiveApnea
1727676907.953593,ObstructiveApnea
1727676917.9615061,NormalSleep
1727676927.968987,ObstructiveApnea
1727676937.976798,NormalSleep
1727676947.984514,ObstructiveApnea
1727676957.9922528,ObstructiveApnea
1727676967.998698,ObstructiveApnea
1727676978.006439,ObstructiveApnea
1727676988.014184,NormalSleep
1727676998.022388,NormalSleep
1727677008.0301352,NormalSleep
1727677018.037885,NormalSleep
1727677028.0444329,NormalSleep
1727677038.05117,ObstructiveApnea
1727677048.05883,NormalSleep
1727677058.066493,NormalSleep
1727677068.074069,NormalSleep
1727677078.081768,ObstructiveApnea
1727677088.089477,NormalSleep
1727677098.0959811,ObstructiveApnea
1727677108.10411,ObstructiveApnea
1727677118.1109812,ObstructiveApnea
1727677128.118569,ObstructiveApnea
1727677138.125335,ObstructiveApnea
1727677148.132937,ObstructiveApnea
1727677158.139446,ObstructiveApnea
1727677168.146932,ObstructiveApnea
1727677178.154368,ObstructiveApnea
1727677188.1620128,ObstructiveApnea
1727677198.169847,ObstructiveApnea
1727677208.1777039,ObstructiveApnea
1727677218.185277,ObstructiveApnea
1727677228.193019,ObstructiveApnea
1727677238.19947,ObstructiveApnea
1727677248.207024,ObstructiveApnea
1727677258.21378,ObstructiveApnea
1727677268.2216132,ObstructiveApnea
1727677278.228377,ObstructiveApnea
1727677288.2364092,ObstructiveApnea
1727677298.244114,ObstructiveApnea
1727677308.250713,ObstructiveApnea
1727677318.257229,ObstructiveApnea
1727677328.26494,ObstructiveApnea
1727677338.272676,ObstructiveApnea
1727677348.280504,ObstructiveApnea
1727677358.288255,ObstructiveApnea
1727677368.294934,ObstructiveApnea
1727677378.3013482,ObstructiveApnea
1727677388.309052,ObstructiveApnea
1727677398.317021,ObstructiveApnea
1727677408.323609,ObstructiveApnea
1727677418.331467,ObstructiveApnea
1727677428.3392022,ObstructiveApnea
1727677438.3456771,ObstructiveApnea
1727677448.353748,ObstructiveApnea
1727677458.361838,ObstructiveApnea
1727677468.368948,ObstructiveApnea
1727677478.376715,ObstructiveApnea
1727677488.384664,ObstructiveApnea
1727677498.392541,ObstructiveApnea
1727677508.400289,ObstructiveApnea
1727677518.40693,ObstructiveApnea
1727677528.414934,ObstructiveApnea
1727677538.423085,ObstructiveApnea
1727677548.4330308,ObstructiveApnea
1727677558.439899,NormalSleep
1727677568.447614,ObstructiveApnea
1727677578.4553332,ObstructiveApnea
1727677588.462037,ObstructiveApnea
1727677598.469962,ObstructiveApnea
1727677608.4765599,ObstructiveApnea
1727677618.4849741,ObstructiveApnea
1727677628.491588,ObstructiveApnea
1727677638.4992661,ObstructiveApnea
1727677648.507008,ObstructiveApnea
1727677658.513511,ObstructiveApnea
1727677668.521164,ObstructiveApnea
1727677678.528227,ObstructiveApnea
1727677688.5356328,ObstructiveApnea
1727677698.54277,ObstructiveApnea
1727677708.549813,ObstructiveApnea
1727677718.557857,ObstructiveApnea
1727677728.5647402,ObstructiveApnea
1727677738.571626,ObstructiveApnea
1727677748.578586,ObstructiveApnea
1727677758.586905,ObstructiveApnea
1727677768.594924,ObstructiveApnea
1727677778.603036,ObstructiveApnea
1727677788.609633,ObstructiveApnea
1727677798.617718,ObstructiveApnea
